,If you like,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-9222795471790223670,-9222795471790223670,9209629151177723638,-7174595923544719736,-4293262855938209141,7569814035922103969,-7.207778005228713e+17
-9216926795620865886,-9216926795620865886,-2703878216681968882,5162508842577612756,7521700660190108859,6237714845306489877,-6.970201660508635e+18
-9194572880052200111,-9194572880052200111,1737303669706106633,2834072258350675251,3716124214746295857,-2462651558329037716,-1.1812425431955162e+18
-9192549002213406534,-9192549002213406534,5658615529969625284,-2375266175756882986,-2213320166727371491,-2477364558321255827,-5.693222181837309e+17
-9190737901804729417,-9190737901804729417,8120046881003900118,8433131156569129937,8295457724580096419,7828019124127586556,-3.718969219417182e+18
-9189659052158407108,-9189659052158407108,-7452761262757182727,-6732229745645090645,7419040071212162906,8021508382912212558,4.4410121641614735e+18
-9184137057748005562,-9184137057748005562,-9184137057748005562,-5622405819042018718,2037560494723407153,-8368414190009234878,-4.948201003470937e+18
-9176143510534135851,-9176143510534135851,-4749032095489327822,3750772607644674028,-645584250289067285,6607431762270322325,8.99323061563535e+18
-9172673334835262304,-9172673334835262304,-9172673334835262304,3965818599169726564,-8909927294729358771,-6734931185433789466,6.797033574746412e+18
-9171475473795142532,-9171475473795142532,2335028422423709400,8637400873589298078,8298709454703868984,-5678159351655490918,8.56511598051586e+18
-9166778629773133902,-9166778629773133902,-2213320166727371491,-2477364558321255827,-2375266175756882986,5658615529969625284,-6.171950598721418e+18
-9161596996229760398,-9161596996229760398,2736373711035411385,6206342468637502921,374352050712569304,-5193720747719231594,-7.162567255723313e+18
-9160910454530522563,-9160910454530522563,2313825045587317872,8690601908689146128,-8615957592921855596,-2808969983997441543,-7.315032288233857e+18
-9157338616628196758,-9157338616628196758,6090089162789916215,-4386371945374980231,-8658069499367979499,-3136683414587095274,-8.937070974333045e+18
-9153494109165200346,-9153494109165200346,-9172673334835262304,3965818599169726564,-8909927294729358771,-6734931185433789466,6.797033574746412e+18
-9152398073968262186,-9152398073968262186,-9040419159428373932,-9152398073968262186,-5470166294767187597,-2800563841840387504,-8.9681017716042e+18
-9147114693160126293,-9147114693160126293,-43795168179752761,-8781597910014596432,-3544655814153481738,-623310439329591027,-5.823398424129441e+18
-9137036168156595470,-9137036168156595470,5135371516547401748,-2377881752614744441,-9033346036688923648,885269153482673496,6.908884359295619e+18
-9128741757954228992,-9128741757954228992,4644672909721737325,-8681175158863587641,-5570795524983603787,-8369610219380465981,-2.554512494756912e+18
